,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
65,167293,1/1/2014,10:37:27,BRITANNIA BUT & HON CREAM,BISCUITS,1.0,13.0,13.0
66,167294,1/1/2014,10:40:47,EGG         ,EGG,6.0,4.5,27.0
67,167295,1/1/2014,10:42:19,EGG         ,EGG,25.0,4.5,112.5
68,167295,1/1/2014,10:42:19,TOOR DALL 1KG (NO-1),PULSES,1.0,84.0,84.0
69,167295,1/1/2014,10:42:19,BRU INSTANT COFFEE,COFFEE,1.0,80.0,80.0
70,167295,1/1/2014,10:42:19,AMUL FRESH C,MILK PRODUCTS,1.0,40.0,40.0
71,167295,1/1/2014,10:42:19,ONIONS      ,ONIONS,1.5,25.0,37.5
72,167296,1/1/2014,10:43:17,PIM POM LOLLIPOP,CHOCOLATE,1.0,3.0,3.0
73,167296,1/1/2014,10:43:17,COLGATE 200G,DENTAL CARE,1.0,156.0,156.0
74,167296,1/1/2014,10:43:17,COLGATE 360 DEGREE TOOTH BRUSH,DENTAL CARE,1.0,110.0,110.0
75,167297,1/1/2014,10:44:14,COCACOLA 60,BEVERAGES,1.0,35.0,35.0
76,167297,1/1/2014,10:44:14,ELITE DREAMS,BAKERY ITEMS,2.0,45.0,90.0
77,167297,1/1/2014,10:44:14,KURKURE 10/,SNACKS,4.0,10.0,40.0
78,167298,1/1/2014,10:45:03,EGG         ,EGG,12.0,4.5,54.0
79,167299,1/1/2014,10:45:30,ONIONS      ,ONIONS,0.5,25.0,12.5
80,167300,1/1/2014,10:46:15,MILK 500ML  ,MILK,4.0,19.0,76.0
81,167300,1/1/2014,10:46:15,BRITANNIA BOURBON,BISCUITS,1.0,25.0,25.0
82,167301,1/1/2014,10:47:46,DHANALAXMI GINGELLY OIL,COOKING OIL,1.0,60.0,60.0
83,167301,1/1/2014,10:47:46,HERITAGE DOO,MILK PRODUCTS,2.0,70.0,140.0
84,167301,1/1/2014,10:47:46,SAFFOLA KARDI OIL,COOKING OIL,1.0,107.0,107.0
85,167301,1/1/2014,10:47:46,ALL OUT REFILL 45 NIGHTS,INSECT REPELLENT,1.0,56.0,56.0
86,167301,1/1/2014,10:47:46,GOOD KNIGHT ADV COIL,INSECT REPELLENT,1.0,49.0,49.0
87,167302,1/1/2014,10:49:35,SUNFEAST ORANGE CREAM,CHOCOLATE,2.0,20.0,40.0
88,167302,1/1/2014,10:49:35,HALDIRAM`S RAJBHOG,SNACKS,1.0,160.0,160.0
89,167303,1/1/2014,10:49:52,ONIONS      ,ONIONS,2.0,25.0,50.0
90,167304,1/1/2014,10:51:30,MILK 500ML  ,MILK,4.0,19.0,76.0
91,167305,1/1/2014,10:53:24,TOOR DALL 2KG (NO-1),PULSES,1.0,168.0,168.0
92,167305,1/1/2014,10:53:24,ANDHRA COFFE,COFFEE,1.0,170.0,170.0
93,167305,1/1/2014,10:53:24,KELLOGG`S HONEY CORN FLAKE,CEREAL,1.0,117.0,117.0
94,167306,1/1/2014,10:55:40,MILK 500ML  ,MILK,2.0,24.0,48.0
95,167306,1/1/2014,10:55:40,MILK 500ML  ,MILK,3.0,19.0,57.0
96,167306,1/1/2014,10:55:40,CADBURY DAIRY MILK,CHOCOLATE,3.0,5.0,15.0
97,167307,1/1/2014,10:56:05,DHANALAXMI GINGELLY OIL,COOKING OIL,1.0,45.0,45.0
98,167307,1/1/2014,10:56:05,WHEAT RAVA SMALL,RAVA,1.0,44.0,44.0
99,167307,1/1/2014,10:56:05,AMBICA JASMINE,POOJA ITEMS,1.0,38.0,38.0
100,167308,1/1/2014,10:59:06,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
101,167308,1/1/2014,10:59:06,CADBURY 5 STAR,CHOCOLATE,2.0,10.0,20.0
102,167308,1/1/2014,10:59:06,5050 MASKA ,BISCUITS,1.0,20.0,20.0
103,167308,1/1/2014,10:59:06,MINUTE MAID PULPY ORANGE,BEVERAGES,2.0,25.0,50.0
104,167308,1/1/2014,10:59:06,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
105,167309,1/1/2014,11:00:23,HALDIRAM`S CLASSIC PACK,SNACKS,1.0,10.0,10.0
106,167309,1/1/2014,11:00:23,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,1.0,20.0,20.0
107,167309,1/1/2014,11:00:23,MILK 500ML  ,MILK,4.0,19.0,76.0
108,167310,1/1/2014,11:01:07,EGG         ,EGG,6.0,4.5,27.0
109,167310,1/1/2014,11:01:07,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
110,167310,1/1/2014,11:01:07,DOSA RICE 1K,RICE,1.0,30.0,30.0
111,167311,1/1/2014,11:01:59,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
112,167311,1/1/2014,11:01:59,CADBURY DAIRY MILK,CHOCOLATE,2.0,10.0,20.0
113,167312,1/1/2014,11:03:15,DABUR GINGER GARLIC PASTE,KITCHEN PASTES,1.0,36.0,36.0
114,167312,1/1/2014,11:03:15,BAMBINO VARMICELLI,COOKING ITEMS,1.0,52.0,52.0
115,167313,1/1/2014,11:04:31,MILK 500ML  ,MILK,4.0,19.0,76.0
116,167314,1/1/2014,11:06:17,SILVER PLATES  10 SIZE  ,PLASTIC,1.0,50.0,50.0
117,167314,1/1/2014,11:06:17,HALDIRAM`S SOAN CAKE,SNACKS,2.0,80.0,160.0
118,167315,1/1/2014,11:08:02,EGG         ,EGG,12.0,4.5,54.0
119,167315,1/1/2014,11:08:02,GENERAL     ,GENERAL,1.0,22.0,22.0
120,167316,1/1/2014,11:08:13,MILK 500ML  ,MILK,5.0,19.0,95.0
121,167317,1/1/2014,11:10:32,COCONUT 1P  ,COCONUT,1.0,17.0,17.0
122,167318,1/1/2014,11:10:41,AIRTEL CARD ,RECHARGE,50.0,1.0,50.0
123,167319,1/1/2014,11:10:55,HERITAGE DOO,MILK PRODUCTS,1.0,70.0,70.0
124,167320,1/1/2014,11:11:14,EGG         ,EGG,6.0,4.5,27.0
125,167320,1/1/2014,11:11:14,JEERA 100G  ,SPICES,1.0,25.0,25.0
126,167320,1/1/2014,11:11:14,SUGAR 1KG   ,SUGAR,1.0,38.0,38.0
127,167321,1/1/2014,11:11:31,VISAKHA DAIRY GOOD MILK,MILK,1.0,42.0,42.0
128,167322,1/1/2014,11:12:09,BINGO CHIPS ,SNACKS,2.0,10.0,20.0
129,167323,1/1/2014,11:12:14,I D DOSA BAT,BATTER,2.0,45.0,90.0
130,167324,1/1/2014,11:12:47,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
131,167324,1/1/2014,11:12:47,EGG         ,EGG,12.0,4.5,54.0
132,167325,1/1/2014,11:14:30,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
133,167325,1/1/2014,11:14:30,KAMAL NAMKEEN,SNACKS,1.0,15.0,15.0
134,167326,1/1/2014,11:15:24,NESTLE KITKAT,CHOCOLATE,1.0,20.0,20.0
135,167326,1/1/2014,11:15:24,SNICKERS SINGLE,CHOCOLATE,1.0,15.0,15.0
136,167326,1/1/2014,11:15:24,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
137,167327,1/1/2014,11:17:22,MILK 500ML  ,MILK,4.0,24.0,96.0
138,167327,1/1/2014,11:17:22,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
139,167327,1/1/2014,11:17:22,DURGA GHEE 200 ML,MILK PRODUCTS,1.0,90.0,90.0
140,167328,1/1/2014,11:18:10,MAAZA 200ML ,BEVERAGES,1.0,12.0,12.0
141,167328,1/1/2014,11:18:10,APPY 200ML  ,BEVERAGES,1.0,12.0,12.0
142,167329,1/1/2014,11:18:29,COLGATE SENSITIVE BRUSH,DENTAL CARE,1.0,39.0,39.0
143,167330,1/1/2014,11:19:53,KAJU 50GMS  ,DRY FRUITS,1.0,31.0,31.0
144,167330,1/1/2014,11:19:53,BADAM 50GM  ,DRY FRUITS,1.0,37.0,37.0
145,167330,1/1/2014,11:19:53,HALDIRAM`S RAJBHOG,SNACKS,1.0,170.0,170.0
146,167331,1/1/2014,11:20:31,GARBAGE BAGS,PLASTIC,1.0,54.0,54.0
147,167332,1/1/2014,11:20:49,MILK 500ML  ,MILK,4.0,24.0,96.0
148,167333,1/1/2014,11:20:57,MILK 500ML  ,MILK,4.0,19.0,76.0
149,167334,1/1/2014,11:23:08,MTR PAYASAM/KHEER MIX,INSTANT MIXES,1.0,46.0,46.0
150,167334,1/1/2014,11:23:08,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
151,167334,1/1/2014,11:23:08,COCONUT 1P  ,COCONUT,2.0,17.0,34.0
152,167334,1/1/2014,11:23:08,MILK 500ML  ,MILK,1.0,19.0,19.0
153,167334,1/1/2014,11:23:08,DOSA RICE 1K,RICE,1.0,30.0,30.0
154,167334,1/1/2014,11:23:08,PRIYA PAPAD ,PAPAD,1.0,21.0,21.0
155,167334,1/1/2014,11:23:08,UDATH ROUND ,PULSES,1.0,88.0,88.0
156,167334,1/1/2014,11:23:08,SAKTHI GHEE ,MILK PRODUCTS,1.0,88.0,88.0
157,167334,1/1/2014,11:23:08,ACT II POPCORN,POPCORN,1.0,20.0,20.0
158,167334,1/1/2014,11:23:08,QUAKER OATS ,CEREAL,2.0,10.0,20.0
159,167334,1/1/2014,11:23:08,BRITANNIA BUT & HON CREAM,BISCUITS,2.0,13.0,26.0
160,167334,1/1/2014,11:23:08,VIM BAR 200G,DISH CLEANER,1.0,14.0,14.0
161,167334,1/1/2014,11:23:08,DETTOL KETCH,HEALTH CARE,1.0,24.0,24.0
162,167335,1/1/2014,11:23:42,MILK 500ML  ,MILK,2.0,19.0,38.0
163,167336,1/1/2014,11:26:10,APSARA NOND,STATIONARY,2.0,3.0,6.0
164,167337,1/1/2014,11:27:35,ONIONS      ,ONIONS,0.5,25.0,12.5
165,167338,1/1/2014,11:28:16,DURACELL AAA,BATTERIES,2.0,25.0,50.0
166,167338,1/1/2014,11:28:16,HERITAGE CUR,MILK PRODUCTS,2.0,38.0,76.0
167,167338,1/1/2014,11:28:16,MILK 500ML  ,MILK,3.0,19.0,57.0
168,167339,1/1/2014,11:33:21,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
169,167339,1/1/2014,11:33:21,PAMPERS 4 LARGE,DIAPERS,2.0,265.0,530.0
170,167339,1/1/2014,11:33:21,KISSAN TOM CHI,SAUCE,1.0,42.0,42.0
171,167339,1/1/2014,11:33:21,GOLD FINGERS,COOKING ITEMS,1.0,19.0,19.0
172,167339,1/1/2014,11:33:21,SUNFEAST SPECIAL,CHOCOLATE,1.0,10.0,10.0
173,167339,1/1/2014,11:33:21,WIPRO BABY SOFT,BABY CARE,1.0,37.0,37.0
174,167339,1/1/2014,11:33:21,WIPRO SILICON NIPPLE,BABY CARE,1.0,27.0,27.0
175,167339,1/1/2014,11:33:21,PARLE COOKIES,BISCUITS,1.0,20.0,20.0
176,167339,1/1/2014,11:33:21,CHALKPIECS BOX COLOUR,STATIONARY,1.0,12.0,12.0
177,167339,1/1/2014,11:33:21,GLITTER GEL ,STATIONARY,1.0,50.0,50.0
178,167339,1/1/2014,11:33:21,VASELINE PETROLEUM JELLY,BODY CARE,1.0,35.0,35.0
179,167340,1/1/2014,11:34:09,BLACK HENNA ,HAIR CARE,1.0,75.0,75.0
180,167340,1/1/2014,11:34:09,FAIR & LOVELY ,BODY CARE,1.0,55.0,55.0
181,167340,1/1/2014,11:34:09,WHISPER CHOICE REGULAR,SANITARY PADS,3.0,30.0,90.0
182,167340,1/1/2014,11:34:09,BADAM 100GM ,DRY FRUITS,1.0,74.0,74.0
183,167340,1/1/2014,11:34:09,AMBICA DURBAR BATHI,POOJA ITEMS,1.0,55.0,55.0
184,167341,1/1/2014,11:34:53,MILK 500ML  ,MILK,1.0,19.0,19.0
185,167342,1/1/2014,11:35:31,LIZOL FLOOR CLEANER 2 LTR,FLOOR CLEANER,1.0,62.0,62.0
186,167343,1/1/2014,11:37:03,MILK 500ML  ,MILK,2.0,19.0,38.0
187,167343,1/1/2014,11:37:03,CADBURY DAIRY MILK,CHOCOLATE,1.0,5.0,5.0
188,167343,1/1/2014,11:37:03,COCACOLA TI,BEVERAGES,1.0,25.0,25.0
189,167343,1/1/2014,11:37:03,BRU INSTANT COFFEE,COFFEE,2.0,88.0,176.0
190,167343,1/1/2014,11:37:03,BANANA CHIPS,SNACKS,1.0,25.0,25.0
191,167343,1/1/2014,11:37:03,KAMAL NAMKEEN,SNACKS,1.0,17.0,17.0
192,167344,1/1/2014,11:38:00,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
193,167345,1/1/2014,11:38:19,EGG         ,EGG,12.0,4.5,54.0
194,167346,1/1/2014,11:39:07,CYCLE SANDALUM,POOJA ITEMS,1.0,50.0,50.0
195,167346,1/1/2014,11:39:07,TATA TEA 500,TEA,1.0,174.0,174.0
196,167347,1/1/2014,11:40:58,COLGATE ACTIVE SALT PASTE,DETERGENT,1.0,17.0,17.0
197,167348,1/1/2014,11:41:37,KAMAL NAMKEEN,SNACKS,1.0,15.0,15.0
198,167349,1/1/2014,11:41:52,SPRITE 500ML,BEVERAGES,1.0,35.0,35.0
199,167349,1/1/2014,11:41:52,BRITANNIA BUT & HON CREAM,BISCUITS,1.0,13.0,13.0
200,167351,1/1/2014,11:43:58,MILK 500ML  ,MILK,2.0,19.0,38.0
201,167353,1/1/2014,11:45:26,KURNOOL RICE,RICE,1.0,46.0,46.0
202,167353,1/1/2014,11:45:26,MILK 500ML  ,MILK,1.0,19.0,19.0
203,167354,1/1/2014,11:45:58,SUNFEAST SPECIAL,CHOCOLATE,1.0,10.0,10.0
