,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
4391,168951,7/1/2014,13:06:17,LAYS 20/   ,SNACKS,1.0,20.0,20.0
4392,168951,7/1/2014,13:06:17,UNCLE CHIPS ,SNACKS,2.0,10.0,20.0
4393,168951,7/1/2014,13:06:17,KINLEY WATER  1 LITRE,BEVERAGES,4.0,20.0,80.0
4394,168951,7/1/2014,13:06:17,KINLEY WATER  1 LITRE,BEVERAGES,3.0,30.0,90.0
4395,168952,7/1/2014,13:09:35,HIT MOSQUITOES & FLIES,INSECT REPELLENT,1.0,128.0,128.0
4396,168952,7/1/2014,13:09:35,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
4397,168953,7/1/2014,13:10:14,IDEA CARD 1/,RECHARGE,100.0,1.0,100.0
4398,168954,7/1/2014,13:41:07,SPRITE 500ML,BEVERAGES,1.0,35.0,35.0
4399,168955,7/1/2014,13:44:28,CADBURY ECLAIRS,CHOCOLATE,7.0,1.0,7.0
4400,168955,7/1/2014,13:44:28,PIM POM LOLLIPOP,CHOCOLATE,1.0,3.0,3.0
4401,168955,7/1/2014,13:44:28,TIC TAC MINT,CHOCOLATE,1.0,10.0,10.0
4402,168955,7/1/2014,13:44:28,FABERCASTEL,STATIONARY,1.0,10.0,10.0
4403,168956,7/1/2014,13:45:04,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
4404,168957,7/1/2014,13:48:08,MILK 500ML  ,MILK,2.0,19.0,38.0
4405,168958,7/1/2014,13:58:57,DURGA GHEE 200 ML,MILK PRODUCTS,1.0,90.0,90.0
4406,168958,7/1/2014,13:58:57,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,1.0,25.0,25.0
4407,168959,7/1/2014,13:59:10,KURKURE 10/,SNACKS,1.0,10.0,10.0
4408,168960,7/1/2014,14:03:51,I D KERALA P,BATTER,1.0,45.0,45.0
4409,168961,7/1/2014,14:04:16,RIN ADVANCED,DETERGENT,1.0,86.0,86.0
4410,168962,7/1/2014,14:07:56,TUTY FRUITY ,BAKERY ITEMS,1.0,12.0,12.0
4411,168962,7/1/2014,14:07:56,HERITAGE CUR,MILK PRODUCTS,2.0,19.0,38.0
4412,168963,7/1/2014,14:17:08,MILK 500ML  ,MILK,4.0,19.0,76.0
4413,168964,7/1/2014,14:17:25,MILK 500ML  ,MILK,1.0,19.0,19.0
4414,168965,7/1/2014,14:22:37,SNICKERS SINGLE,CHOCOLATE,4.0,30.0,120.0
4415,168965,7/1/2014,14:22:37,CABDURY TEMPTATIONS,CHOCOLATE,1.0,65.0,65.0
4416,168965,7/1/2014,14:22:37,FANTA 600ML ,BEVERAGES,1.0,35.0,35.0
4417,168965,7/1/2014,14:22:37,KAMAL CAKE 1,BAKERY ITEMS,1.0,30.0,30.0
4418,168965,7/1/2014,14:22:37,NESTLE TONED MILK,CHOCOLATE,2.0,65.0,130.0
4419,168966,7/1/2014,14:41:22,NESTLE BAR ONE,CHOCOLATE,1.0,10.0,10.0
4420,168966,7/1/2014,14:41:22,TIC TAC MINT,CHOCOLATE,1.0,10.0,10.0
4421,168966,7/1/2014,14:41:22,CADBURY GEMS,CHOCOLATE,1.0,30.0,30.0
4422,168966,7/1/2014,14:41:22,CELLO PEN 10,STATIONARY,1.0,10.0,10.0
4423,168966,7/1/2014,14:41:22,CADBURY PERK POPPERS,CHOCOLATE,1.0,10.0,10.0
4424,168966,7/1/2014,14:41:22,CADBURY DAIRY MILK,CHOCOLATE,3.0,10.0,30.0
4425,168967,7/1/2014,15:11:05,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
4426,168967,7/1/2014,15:11:05,KINLEY WATER  1 LITRE,BEVERAGES,1.0,20.0,20.0
4427,168967,7/1/2014,15:11:05,5 STAR FRUIT & NUT,CHOCOLATE,1.0,25.0,25.0
4428,168967,7/1/2014,15:11:05,MILK 500ML  ,MILK,1.0,19.0,19.0
4429,168967,7/1/2014,15:11:05,MAAZA 1LTR +200ML,BEVERAGES,1.0,62.0,62.0
4430,168967,7/1/2014,15:11:05,LAVANGAM 50G,SPICES,2.0,80.0,160.0
4431,168967,7/1/2014,15:11:05,NESTLE KITKAT,CHOCOLATE,1.0,10.0,10.0
4432,168967,7/1/2014,15:11:05,KELLOGG`S EXTRA,CEREAL,1.0,119.0,119.0
4433,168967,7/1/2014,15:11:05,CORNETTO BUTTERSCOTCH,MILK PRODUCTS,2.0,30.0,60.0
4434,168968,7/1/2014,15:12:33,SUGAR 500GM ,SUGAR,1.0,19.0,19.0
4435,168968,7/1/2014,15:12:33,VIM BAR 200G,DISH CLEANER,1.0,14.0,14.0
4436,168969,7/1/2014,17:43:45,LUX ORCHID TOUCH,BODY SOAP,1.0,10.0,10.0
4437,168970,7/1/2014,17:44:16,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
4438,168971,7/1/2014,17:45:13,MINUTE MAID PULPY ORANGE,BEVERAGES,1.0,22.0,22.0
4439,168972,7/1/2014,17:46:11,DABUR COCONUT MILK 200 ML,COCONUT,1.0,48.0,48.0
4440,168973,7/1/2014,17:50:22,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
4441,168974,7/1/2014,17:50:50,KAMAL SALTED MURMURA,SNACKS,1.0,22.0,22.0
4442,168975,7/1/2014,17:51:47,BRITANNIA MANGO CREAM,BISCUITS,1.0,10.0,10.0
4443,168976,7/1/2014,17:53:25,KINLEY WATER  1 LITRE,BEVERAGES,2.0,20.0,40.0
4444,168976,7/1/2014,17:53:25,EGG         ,EGG,12.0,4.5,54.0
4445,168977,7/1/2014,17:55:02,MILK 500ML  ,MILK,1.0,19.0,19.0
4446,168977,7/1/2014,17:55:02,LAYS 15/   ,SNACKS,1.0,15.0,15.0
4447,168978,7/1/2014,17:56:23,CADBURY ECLAIRS,CHOCOLATE,1.0,1.0,1.0
4448,168978,7/1/2014,17:56:23,PIM POM LOLLIPOP,CHOCOLATE,1.0,3.0,3.0
4449,168978,7/1/2014,17:56:23,NESTLE CHOTU MUNCH,CHOCOLATE,3.0,2.0,6.0
4450,168979,7/1/2014,17:56:50,MILK 500ML  ,MILK,1.0,19.0,19.0
4451,168979,7/1/2014,17:56:50,FEAST FRUTTA,CHOCOLATE,2.0,20.0,40.0
4452,168980,7/1/2014,17:58:26,MILK 500ML  ,MILK,3.0,19.0,57.0
4453,168981,7/1/2014,17:58:52,EGG         ,EGG,12.0,4.5,54.0
4454,168981,7/1/2014,17:58:52,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
4455,168982,7/1/2014,17:59:40,ONIONS      ,ONIONS,1.0,25.0,25.0
4456,168982,7/1/2014,17:59:40,MILK 500ML  ,MILK,1.0,19.0,19.0
4457,168983,7/1/2014,18:00:36,FREEDOM SUNF,COOKING OIL,1.0,100.0,100.0
4458,168983,7/1/2014,18:00:36,COPRA BLACK ,KITCHEN POWDERS,1.0,28.0,28.0
4459,168984,7/1/2014,18:00:41,MILK 500ML  ,MILK,1.0,19.0,19.0
4460,168985,7/1/2014,18:01:07,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
4461,168985,7/1/2014,18:01:07,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
4462,168986,7/1/2014,18:01:35,ODOMOS MOSQUITO REPELLENT CR,INSECT REPELLENT,1.0,25.0,25.0
4463,168986,7/1/2014,18:01:35,BRITANNIA MILK ALMOND,BISCUITS,1.0,26.0,26.0
4464,168987,7/1/2014,18:03:05,CELLO PEN 10,STATIONARY,1.0,10.0,10.0
4465,168988,7/1/2014,18:04:15,CARRY BAG   ,CARRY BAG,1.0,2.0,2.0
4466,168988,7/1/2014,18:04:15,BRITANNIA MILK ALMOND,BISCUITS,2.0,22.0,44.0
4467,168989,7/1/2014,18:05:17,MILK 500ML  ,MILK,2.0,19.0,38.0
4468,168989,7/1/2014,18:05:17,GENERAL     ,GENERAL,1.0,25.0,25.0
4469,168990,7/1/2014,18:08:00,VIM DROP LIQUID,DISH CLEANER,1.0,20.0,20.0
4470,168990,7/1/2014,18:08:00,DURACELL AA2,BATTERIES,1.0,45.0,45.0
4471,168990,7/1/2014,18:08:00,VIM BAR 400G,DISH CLEANER,2.0,23.0,46.0
4472,168990,7/1/2014,18:08:00,CAMEL WATER COLOUR CAKES JR,STATIONARY,1.0,28.0,28.0
4473,168991,7/1/2014,18:08:51,NESTLE 20 /,CHOCOLATE,1.0,20.0,20.0
4474,168992,7/1/2014,18:09:46,DETTOL 200ML,HEALTH CARE,1.0,36.0,36.0
4475,168993,7/1/2014,18:11:03,MILK 500ML  ,MILK,1.0,19.0,19.0
4476,168993,7/1/2014,18:11:03,VASELINE PETROLEUM JELLY,BODY CARE,1.0,27.0,27.0
4477,168994,7/1/2014,18:12:21,MILK 500ML  ,MILK,2.0,19.0,38.0
4478,168995,7/1/2014,18:12:31,NESTLE MILKYBAR,CHOCOLATE,2.0,5.0,10.0
4479,168996,7/1/2014,18:12:55,PIM POM LOLLIPOP,CHOCOLATE,2.0,3.0,6.0
4480,168996,7/1/2014,18:12:55,MAAZA 200ML ,BEVERAGES,2.0,12.0,24.0
4481,168997,7/1/2014,18:15:17,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
4482,168997,7/1/2014,18:15:17,TAJ MAHAL TEA,TEA,1.0,46.0,46.0
4483,168997,7/1/2014,18:15:17,KAJU 50GMS  ,DRY FRUITS,1.0,31.0,31.0
4484,168997,7/1/2014,18:15:17,TETLEY TEA 10TEA BAGS,TEA,1.0,60.0,60.0
4485,168998,7/1/2014,18:15:51,COMPLAN CHOCOLATE,ENERGY DRINKS,2.0,109.0,218.0
4486,168999,7/1/2014,18:17:02,MILK 500ML  ,MILK,1.0,19.0,19.0
4487,168999,7/1/2014,18:17:02,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,1.0,25.0,25.0
4488,169000,7/1/2014,18:18:21,HALDIRAM`S 8,SNACKS,1.0,10.0,10.0
4489,169001,7/1/2014,18:18:54,ORBIT CHEWING GUM,CHOCOLATE,1.0,5.0,5.0
4490,169001,7/1/2014,18:18:54,CADBURY PERK POPPERS,CHOCOLATE,1.0,5.0,5.0
4491,169002,7/1/2014,18:19:09,KAMAL NAMKEEN,SNACKS,1.0,17.0,17.0
4492,169003,7/1/2014,18:20:56,BRITANNIA MILK ALMOND,BISCUITS,1.0,22.0,22.0
4493,169003,7/1/2014,18:20:56,BRITANNIA 50-50 ,BISCUITS,1.0,10.0,10.0
4494,169003,7/1/2014,18:20:56,BAMBINO VARMICELLI,COOKING ITEMS,1.0,13.0,13.0
4495,169003,7/1/2014,18:20:56,GOOD KNIGHT ADV COIL,INSECT REPELLENT,1.0,108.0,108.0
4496,169003,7/1/2014,18:20:56,FIGARO OLIVE OIL,COOKING OIL,1.0,115.0,115.0
4497,169004,7/1/2014,18:22:38,OREO BISKUIT,BISCUITS,1.0,30.0,30.0
4498,169004,7/1/2014,18:22:38,MAAZA 200ML ,BEVERAGES,1.0,12.0,12.0
4499,169004,7/1/2014,18:22:38,EGG         ,EGG,6.0,4.5,27.0
4500,169004,7/1/2014,18:22:38,BRU GREEN LABEL COFFEE,COFFEE,1.0,58.0,58.0
4501,169004,7/1/2014,18:22:38,RED LABLE TEA,TEA,1.0,90.0,90.0
4502,169004,7/1/2014,18:22:38,COLGATE MAX FRESH 150G BLUE,DENTAL CARE,1.0,44.0,44.0
4503,169004,7/1/2014,18:22:38,PEARS 75G   ,BODY SOAP,1.0,34.0,34.0
4504,169005,7/1/2014,18:23:37,EGG         ,EGG,6.0,4.5,27.0
4505,169006,7/1/2014,18:27:47,APSARA NOND,STATIONARY,9.0,3.0,27.0
4506,169006,7/1/2014,18:27:47,APSARA PENCIL,STATIONARY,10.0,5.0,50.0
4507,169006,7/1/2014,18:27:47,MILK 500ML  ,MILK,1.0,19.0,19.0
4508,169006,7/1/2014,18:27:47,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
4509,169006,7/1/2014,18:27:47,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
4510,169007,7/1/2014,18:28:24,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
4511,169008,7/1/2014,18:29:05,EGG         ,EGG,30.0,4.5,135.0
4512,169008,7/1/2014,18:29:05,VIM BAR 265G,DISH CLEANER,1.0,44.0,44.0
4513,169009,7/1/2014,18:31:17,NESTLE MILK MAID 400G TIN,CHOCOLATE,1.0,92.0,92.0
4514,169009,7/1/2014,18:31:17,NUTELLA SPREAD,BAKERY ITEMS,1.0,110.0,110.0
4515,169010,7/1/2014,18:32:01,EGG         ,EGG,13.0,4.5,58.5
4516,169011,7/1/2014,18:33:54,CADBURY GEMS,CHOCOLATE,1.0,5.0,5.0
4517,169011,7/1/2014,18:33:54,ONIONS      ,ONIONS,1.0,25.0,25.0
4518,169011,7/1/2014,18:33:54,GOLD DROP SUNFLOWER,COOKING OIL,1.0,100.0,100.0
4519,169012,7/1/2014,18:35:13,EGG         ,EGG,6.0,4.5,27.0
4520,169012,7/1/2014,18:35:13,MILK 500ML  ,MILK,3.0,19.0,57.0
4521,169012,7/1/2014,18:35:13,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
4522,169013,7/1/2014,18:37:56,VISAKHA DAIRY GOOD MILK,MILK,3.0,42.0,126.0
4523,169013,7/1/2014,18:37:56,AASIRVAAD ATTA,ATTA,3.0,44.0,132.0
4524,169013,7/1/2014,18:37:56,WHITE BATANI ,INSECT REPELLENT,1.0,12.0,12.0
4525,169013,7/1/2014,18:37:56,AMUL BUTTER 12P SMALL,MILK PRODUCTS,1.0,34.0,34.0
4526,169013,7/1/2014,18:37:56,AMUL CHEES 10 SLICES,MILK PRODUCTS,1.0,102.0,102.0
4527,169013,7/1/2014,18:37:56,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
4528,169013,7/1/2014,18:37:56,BRITANNIA MILK ALMOND,BISCUITS,1.0,22.0,22.0
4529,169013,7/1/2014,18:37:56,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
4530,169014,7/1/2014,18:38:20,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
4531,169015,7/1/2014,18:39:28,EGG         ,EGG,6.0,4.5,27.0
4532,169016,7/1/2014,18:39:51,GENERAL     ,GENERAL,1.0,15.0,15.0
4533,169017,7/1/2014,18:43:03,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
4534,169017,7/1/2014,18:43:03,GILLETTE PRESTO POUCH,HAIR REMOVALS,3.0,18.0,54.0
4535,169017,7/1/2014,18:43:03,BRU INSTANT COFFEE,COFFEE,2.0,10.0,20.0
4536,169017,7/1/2014,18:43:03,SENSODYNE 80,DENTAL CARE,1.0,90.0,90.0
4537,169017,7/1/2014,18:43:03,CINTHOL REGULAR (OLD),BODY SOAP,2.0,32.0,64.0
4538,169017,7/1/2014,18:43:03,WHEAT RAVA SMALL,RAVA,1.0,44.0,44.0
4539,169017,7/1/2014,18:43:03,CLIPS 12 NOS,PLASTIC,2.0,42.0,84.0
4540,169017,7/1/2014,18:43:03,CLOTH CLIPS ,PLASTIC,1.0,39.0,39.0
4541,169017,7/1/2014,18:43:03,STAYFREE SECURE 2 IN 1,SANITARY PADS,1.0,33.0,33.0
4542,169017,7/1/2014,18:43:03,HIT MOSQUITOES & FLIES,INSECT REPELLENT,1.0,159.0,159.0
4543,169018,7/1/2014,18:46:11,BINGO CHIPS ,SNACKS,2.0,10.0,20.0
4544,169019,7/1/2014,18:46:46,RATNA CHIKKY,SNACKS,1.0,15.0,15.0
4545,169019,7/1/2014,18:46:46,OREO BISCUITS,BISCUITS,1.0,10.0,10.0
4546,169019,7/1/2014,18:46:46,BRITANNIA BUT & HON CREAM,BISCUITS,1.0,13.0,13.0
4547,169019,7/1/2014,18:46:46,CADBURY DAIRY MILK,CHOCOLATE,1.0,22.0,22.0
4548,169019,7/1/2014,18:46:46,LAYS 20/   ,SNACKS,1.0,20.0,20.0
4549,169020,7/1/2014,18:48:13,CADBURY CELEBRATIONS,CHOCOLATE,1.0,230.0,230.0
4550,169021,7/1/2014,18:48:21,MILK 500ML  ,MILK,2.0,19.0,38.0
4551,169022,7/1/2014,18:48:59,EGG         ,EGG,12.0,4.5,54.0
4552,169023,7/1/2014,18:50:31,BOOMER      ,CHOCOLATE,1.0,6.0,6.0
4553,169024,7/1/2014,18:53:11,TIL BLACK 10,PULSES,1.0,28.0,28.0
4554,169024,7/1/2014,18:53:11,TIL WHITE ORDANARY,INSECT REPELLENT,1.0,54.0,54.0
4555,169025,7/1/2014,18:53:35,LOREAL EXCELLENCE CREAME180ML,RECHARGE,1.0,559.0,559.0
4556,169026,7/1/2014,18:54:24,BALL PEN    ,STATIONARY,1.0,40.0,40.0
4557,169027,7/1/2014,18:55:52,EGG         ,EGG,12.0,4.5,54.0
4558,169027,7/1/2014,18:55:52,NOTE  BOOK  ,STATIONARY,60.0,1.0,60.0
4559,169027,7/1/2014,18:55:52,BALL PEN    ,STATIONARY,3.0,5.0,15.0
4560,169027,7/1/2014,18:55:52,KISSAN MIXED FRUIT JAM,JAM,1.0,48.0,48.0
4561,169028,7/1/2014,18:57:28,BULL BRAND CRYSTAL SALT,SALT,1.0,9.0,9.0
4562,169028,7/1/2014,18:57:28,RATNA CHIKKY,SNACKS,1.0,15.0,15.0
4563,169028,7/1/2014,18:57:28,KAMAL BATANA,PULSES,2.0,10.0,20.0
4564,169029,7/1/2014,18:58:51,EGG         ,EGG,13.0,4.5,58.5
4565,169029,7/1/2014,18:58:51,CADBURY DAIRY MILK,CHOCOLATE,1.0,125.0,125.0
4566,169029,7/1/2014,18:58:51,SNICKERS SINGLE,CHOCOLATE,2.0,30.0,60.0
4567,169029,7/1/2014,18:58:51,CORNETTO BUTTERSCOTCH,MILK PRODUCTS,1.0,30.0,30.0
4568,169029,7/1/2014,18:58:51,DOUBLEMINT CHEWING GUM,CHOCOLATE,1.0,10.0,10.0
4569,169029,7/1/2014,18:58:51,NESTLE 20 /,CHOCOLATE,1.0,20.0,20.0
4570,169029,7/1/2014,18:58:51,ALL OUT REFILL 45 NIGHTS,INSECT REPELLENT,1.0,56.0,56.0
4571,169029,7/1/2014,18:58:51,ALL OUT REFILL 45 NIGHTS,INSECT REPELLENT,1.0,99.0,99.0
4572,169029,7/1/2014,18:58:51,MILK 500ML  ,MILK,1.0,19.0,19.0
4573,169030,7/1/2014,19:00:26,CADBURY ECLAIRS,CHOCOLATE,2.0,1.0,2.0
4574,169030,7/1/2014,19:00:26,CADBURY DAIRY MILK,CHOCOLATE,1.0,22.0,22.0
4575,169030,7/1/2014,19:00:26,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
4576,169030,7/1/2014,19:00:26,DETTOL 500ML,HEALTH CARE,1.0,82.0,82.0
4577,169031,7/1/2014,19:01:04,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
4578,169032,7/1/2014,19:03:49,KAMAL NAMKEEN,SNACKS,1.0,15.0,15.0
4579,169032,7/1/2014,19:03:49,SAFFOLA OATS,CEREAL,1.0,15.0,15.0
4580,169032,7/1/2014,19:03:49,C C DOSA BAT,BATTER,1.0,51.0,51.0
4581,169032,7/1/2014,19:03:49,B RAVA 1KG  ,RAVA,1.0,38.0,38.0
4582,169032,7/1/2014,19:03:49,MOONG ROUND ,SNACKS,1.0,43.0,43.0
4583,169032,7/1/2014,19:03:49,BRITANNIA MILK ALMOND,BISCUITS,1.0,26.0,26.0
4584,169032,7/1/2014,19:03:49,MAGGI MASALA,NOODLES,1.0,40.0,40.0
4585,169033,7/1/2014,19:07:10,MILK 500ML  ,MILK,2.0,19.0,38.0
4586,169033,7/1/2014,19:07:10,HALDIRAM`S BADAM HALWA,SNACKS,2.0,25.0,50.0
4587,169033,7/1/2014,19:07:10,HALDIRAM`S GOLDEN TREAT,SNACKS,1.0,85.0,85.0
4588,169034,7/1/2014,19:08:12,BRITANNIA MILK ALMOND,BISCUITS,1.0,26.0,26.0
4589,169034,7/1/2014,19:08:12,CADBURY DAIRY MILK,CHOCOLATE,2.0,22.0,44.0
4590,169034,7/1/2014,19:08:12,JEERA 100G  ,SPICES,1.0,25.0,25.0
4591,169034,7/1/2014,19:08:12,KALA MIRCH 1,SPICES,1.0,90.0,90.0
4592,169034,7/1/2014,19:08:12,MILK 500ML  ,MILK,2.0,19.0,38.0
4593,169035,7/1/2014,19:08:34,EGG         ,EGG,4.0,4.5,18.0
4594,169036,7/1/2014,19:09:23,KURNOOL RICE,RICE,1.0,92.0,92.0
4595,169036,7/1/2014,19:09:23,MILK 500ML  ,MILK,1.0,19.0,19.0
4596,169036,7/1/2014,19:09:23,IDLI RAVA NO 1,RAVA,1.0,26.0,26.0
4597,169037,7/1/2014,19:10:10,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
4598,169037,7/1/2014,19:10:10,LAYS 10/   ,SNACKS,1.0,10.0,10.0
4599,169038,7/1/2014,19:16:08,KURNOOL RICE,RICE,2.0,230.0,460.0
4600,169038,7/1/2014,19:16:08,APSARA PENCIL,STATIONARY,10.0,5.0,50.0
4601,169038,7/1/2014,19:16:08,EGG         ,EGG,10.0,4.5,45.0
4602,169038,7/1/2014,19:16:08,GENERAL     ,GENERAL,2.0,1.0,2.0
4603,169038,7/1/2014,19:16:08,NIVEA BODY LOTION,BODY CARE,1.0,299.0,299.0
4604,169038,7/1/2014,19:16:08,BRU INSTANT COFFEE,COFFEE,1.0,10.0,10.0
4605,169038,7/1/2014,19:16:08,FREEDOM SUNF,COOKING OIL,1.0,98.0,98.0
4606,169038,7/1/2014,19:16:08,KURKURE 10/,SNACKS,2.0,10.0,20.0
4607,169038,7/1/2014,19:16:08,JEERA 50G   ,SPICES,1.0,13.0,13.0
4608,169038,7/1/2014,19:16:08,MOONG DALL 200G (NO.1),SNACKS,1.0,20.0,20.0
4609,169038,7/1/2014,19:16:08,CHANA DALL 2,PULSES,1.0,13.0,13.0
4610,169038,7/1/2014,19:16:08,PUTANALU 500,PULSES,1.0,38.0,38.0
4611,169038,7/1/2014,19:16:08,COPRA POWDER,KITCHEN POWDERS,1.0,29.0,29.0
4612,169038,7/1/2014,19:16:08,TATA SALT 1K,SALT,1.0,17.0,17.0
4613,169038,7/1/2014,19:16:08,SUNFEAST DEL,CHOCOLATE,1.0,60.0,60.0
4614,169038,7/1/2014,19:16:08,KELLOGG`S CHOCOS,CEREAL,1.0,50.0,50.0
4615,169038,7/1/2014,19:16:08,KELLOGG`S CHOCOS,CEREAL,1.0,147.0,147.0
4616,169038,7/1/2014,19:16:08,TOOR DALL 1KG (NO-1),PULSES,1.0,84.0,84.0
4617,169038,7/1/2014,19:16:08,IDHAYAM GINGELLY OIL,COOKING OIL,1.0,297.0,297.0
4618,169038,7/1/2014,19:16:08,WHISPER CHOICE REGULAR,SANITARY PADS,1.0,27.0,27.0
4619,169038,7/1/2014,19:16:08,ANDHRA COFFE,COFFEE,1.0,68.0,68.0
4620,169038,7/1/2014,19:16:08,RED CHILLI 2,KITCHEN POWDERS,1.0,31.0,31.0
4621,169038,7/1/2014,19:16:08,WHISPER ULTRA,SANITARY PADS,1.0,290.0,290.0
4622,169038,7/1/2014,19:16:08,PRIYA PICKLE,PICKLES,1.0,12.0,12.0
4623,169038,7/1/2014,19:16:08,UDATH ROUND ,PULSES,1.0,44.0,44.0
4624,169038,7/1/2014,19:16:08,IDLI RAVA NO 1,RAVA,1.0,26.0,26.0
4625,169038,7/1/2014,19:16:08,PREMIER SERVITTE TISSUE,TISSUE,1.0,50.0,50.0
4626,169039,7/1/2014,19:16:47,MAAZA 250ML ,BEVERAGES,1.0,12.0,12.0
4627,169039,7/1/2014,19:16:47,AMUL FRESH C,MILK PRODUCTS,1.0,40.0,40.0
4628,169040,7/1/2014,19:17:14,FEAST FRUTTA,CHOCOLATE,1.0,20.0,20.0
4629,169040,7/1/2014,19:17:14,CADBURY GEMS,CHOCOLATE,1.0,30.0,30.0
4630,169040,7/1/2014,19:17:14,KURKURE 20/,SNACKS,1.0,20.0,20.0
4631,169040,7/1/2014,19:17:14,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
4632,169041,7/1/2014,19:17:28,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
4633,169041,7/1/2014,19:17:28,THUMS UP TIN,BEVERAGES,2.0,25.0,50.0
4634,169042,7/1/2014,19:17:48,KURKURE 10/,SNACKS,1.0,10.0,10.0
4635,169042,7/1/2014,19:17:48,FEAST FRUTTA,CHOCOLATE,1.0,20.0,20.0
4636,169043,7/1/2014,19:18:57,TAJ MAHAL TEA,TEA,2.0,46.0,92.0
4637,169043,7/1/2014,19:18:57,KAMAL BISCUIT,BISCUITS,1.0,20.0,20.0
4638,169043,7/1/2014,19:18:57,HALDIRAM`S 8,SNACKS,1.0,10.0,10.0
4639,169043,7/1/2014,19:18:57,SUNFEAST DEL,CHOCOLATE,1.0,30.0,30.0
4640,169043,7/1/2014,19:18:57,SUPERMAX BLADES,HAIR REMOVALS,1.0,22.0,22.0
4641,169043,7/1/2014,19:18:57,RATNA CHIKKY,SNACKS,2.0,20.0,40.0
4642,169043,7/1/2014,19:18:57,GROUND NUT 2,PULSES,1.0,22.0,22.0
4643,169043,7/1/2014,19:18:57,ACTIVE WHEEL,DETERGENT,2.0,29.0,58.0
4644,169043,7/1/2014,19:18:57,KAMAL BUTTER,MILK PRODUCTS,2.0,20.0,40.0
4645,169043,7/1/2014,19:18:57,KURKURE 20/,SNACKS,1.0,20.0,20.0
4646,169044,7/1/2014,19:19:33,EGG         ,EGG,12.0,4.5,54.0
4647,169044,7/1/2014,19:19:33,MAAZA 200ML ,BEVERAGES,1.0,12.0,12.0
4648,169045,7/1/2014,19:20:43,EGG         ,EGG,12.0,4.5,54.0
4649,169045,7/1/2014,19:20:43,AASIRVAAD ATTA,ATTA,1.0,44.0,44.0
4650,169045,7/1/2014,19:20:43,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
4651,169045,7/1/2014,19:20:43,HALDIRAM`S 8,SNACKS,5.0,10.0,50.0
4652,169045,7/1/2014,19:20:43,3 ROSES NATURAL CARE,TEA,1.0,120.0,120.0
4653,169045,7/1/2014,19:20:43,TROPICANA PO,BEVERAGES,1.0,95.0,95.0
4654,169045,7/1/2014,19:20:43,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
4655,169046,7/1/2014,19:21:26,CADBURY DAIRY MILK,CHOCOLATE,2.0,5.0,10.0
4656,169046,7/1/2014,19:21:26,BRITANNIA BUT & HON CREAM,BISCUITS,2.0,13.0,26.0
4657,169047,7/1/2014,19:22:16,CADBURY 5 STAR,CHOCOLATE,1.0,5.0,5.0
4658,169047,7/1/2014,19:22:16,SPRITE TIN 3,BEVERAGES,1.0,25.0,25.0
4659,169048,7/1/2014,19:22:36,BINGO CHIPS ,SNACKS,1.0,20.0,20.0
4660,169048,7/1/2014,19:22:36,KINDER JOY 2,CHOCOLATE,1.0,35.0,35.0
4661,169049,7/1/2014,19:25:46,VIJAYA SUNFLOWER OIL,COOKING OIL,1.0,89.0,89.0
4662,169049,7/1/2014,19:25:46,UNCLE CHIPS ,SNACKS,1.0,10.0,10.0
4663,169049,7/1/2014,19:25:46,GILLETTE FOAM,HAIR REMOVALS,1.0,199.0,199.0
4664,169049,7/1/2014,19:25:46,FIGARO OLIVE OIL,COOKING OIL,1.0,209.0,209.0
4665,169049,7/1/2014,19:25:46,DABUR BADAM TAIL,DRY FRUITS,1.0,80.0,80.0
4666,169049,7/1/2014,19:25:46,BAMBINO ROASTED VARMI 650G JAR,COOKING ITEMS,1.0,39.0,39.0
4667,169050,7/1/2014,19:25:58,MILK 500ML  ,MILK,1.0,19.0,19.0
